Name,Ingredients,Instructions,nutr_per_ingredient,quantity,unit,weight_per_ingr,Total Time,Calories
Rice Cream with Strawberry Sauce,"['rice, white, long-grain, regular, unenriched, cooked without salt', 'water, bottled, generic', 'milk, fluid, 1% fat, without added vitamin a and vitamin d', 'salt, table', 'cream, fluid, heavy whipping', 'sugars, granulated', 'vanilla extract', 'strawberries, raw', 'water, bottled, generic', 'lemon juice, raw']","['Cook rice with water and salt for 15 minutes, covered.', 'Add milk and cook 30 more minutes or until rice is tender and mixture is thick.', 'Chill rice in refrigerator.', 'Whip cream with sugar and vanilla.', 'Gently fold whipped cream into chilled rice.', 'Serve with strawberry sauce.', 'Strawberry Sauce: Place all ingredients in blender or food processor.', 'Mix until blended.', 'Serve with Rice Cream or ice cream.']","[{'fat': 1.2700576000000001, 'nrg': 589.6696, 'pro': 12.2016248, 'sat': 0.34926584, 'sod': 4.53592, 'sug': 0.226796}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 24.0, 'sug': 0.0}, {'fat': 9.48, 'nrg': 408.0, 'pro': 32.88, 'sat': 6.18, 'sod': 428.0, 'sug': 50.76}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2325.0, 'sug': 0.0}, {'fat': 86.6, 'nrg': 816.0, 'pro': 6.82, 'sat': 55.276, 'sod': 64.0, 'sug': 7.0}, {'fat': 0.0, 'nrg': 192.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 50.28000000000001}, {'fat': 0.0, 'nrg': 24.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 1.06}, {'fat': 0.92, 'nrg': 98.0, 'pro': 2.04, 'sat': 0.046, 'sod': 4.0, 'sug': 14.86}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 8.0, 'sug': 0.0}, {'fat': 0.036875, 'nrg': 3.375, 'pro': 0.053125, 'sat': 0.006125, 'sod': 0.125, 'sug': 0.384375}]","['1', '3', '4', '1', '2', '4', '2', '2', '1', '1']","['pound', 'cup', 'cup', 'teaspoon', 'cup', 'tablespoon', 'teaspoon', 'cup', 'cup', 'tablespoon']","[453.592, 710.4000000000001, 976.0, 6.0, 240.0, 50.400000000000006, 8.4, 304.0, 236.8, 15.25]",15.0,2131.0446
Asian Honey BBQ Oven-Baked Chicken Wings,"['spices, pepper, black', 'salt, table', 'cornstarch', 'chicken, broilers or fryers, wing, meat and skin, raw', 'sauce, barbecue', 'soy sauce made from soy (tamari)', 'spices, ginger, ground', 'spices, garlic powder']","['Preheat oven to 375 degrees F. Spray baking sheet with cooking spray and set aside.', 'Mix together black pepper, salt, and cornstarch.', 'Dry chicken with paper towels and place pieces in a large mixing bowl.', 'Sprinkle spice mixture over chicken and toss with a plastic spatula to coat evenly.', 'Place wings on a baking sheet, spray lightly with cooking spray, and bake about 20 minutes, or until internal temperature reaches 165 degrees F.', 'While wings are baking, whisk together all sauce ingredients and heat on stove top or in the microwave just until warmed.', 'Put sauce in a large bowl.', 'When chicken is done baking, add to sauce bowl and toss to coat wings evenly.', 'Serve immediately.', 'Note: if you dont have honey BBQ sauce on hand, you can use regular BBQ sauce and add 1-2 tablespoons of honey, to taste!', '(Recipe adapted from Kraft and Cooks Illustrated.)']","[{'fat': 0.07, 'nrg': 6.0, 'pro': 0.23999999999999996, 'sat': 0.032, 'sod': 0.0, 'sug': 0.01}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2325.0, 'sug': 0.0}, {'fat': 0.015, 'nrg': 122.0, 'pro': 0.0825, 'sat': 0.003, 'sod': 3.0, 'sug': 0.0}, {'fat': 174.859716, 'nrg': 2599.0821599999995, 'pro': 238.40795519999998, 'sat': 48.10343159999999, 'sod': 1143.0518399999999, 'sug': 0.0}, {'fat': 1.76, 'nrg': 464.0, 'pro': 2.24, 'sat': 0.128, 'sod': 2800.0, 'sug': 90.4}, {'fat': 0.03, 'nrg': 16.5, 'pro': 2.835, 'sat': 0.003, 'sod': 1507.5, 'sug': 0.46499999999999997}, {'fat': 0.04, 'nrg': 3.0, 'pro': 0.08, 'sat': 0.0235, 'sod': 0.0, 'sug': 0.029999999999999995}, {'fat': 0.005, 'nrg': 2.5, 'pro': 0.1275, 'sat': 0.002, 'sod': 0.5, 'sug': 0.02}]","['1', '1', '1/4', '3', '1', '4 1/2', '1/2', '1/4']","['teaspoon', 'teaspoon', 'cup', 'pound', 'cup', 'teaspoon', 'teaspoon', 'teaspoon']","[2.3, 6.0, 32.0, 1360.7759999999998, 272.0, 27.0, 0.9, 0.775]",20.0,3213.0821599999995
Raw Chocolate Chip Cookies,"['wheat flour, white, all-purpose, unenriched', 'wheat flour, white, all-purpose, unenriched', 'chocolate, dark, 70-85% cacao solids', 'water, bottled, generic', 'syrup, maple, canadian', 'vanilla extract', 'salt, table', 'spartan, real semi-sweet chocolate baking chips, upc: 011213162966', 'nuts, cashew nuts, raw', 'syrup, maple, canadian', 'chocolate, dark, 70-85% cacao solids', 'vanilla extract', 'salt, table']","['To Make the Chocolate Chips:', 'Place all ingredients in Vita-Mix and blend until smooth.', 'Place in piping bag and pipe chocolate chips onto Teflex sheet.', 'Dehydrate overnight at 118 degrees.', 'Keep in refrigerator in a sealed container until ready to use.', 'To Make the Cookies:', 'Mix all ingredients except chocolate chips in a medium-sized bowl by hand.', 'Stir in 1 cup chocolate chips.', 'Form into 3-inch cookies and press a few extra chocolate chips into the top of each cookie.', 'Dehydrate (see Notes) on screens overnight at 118 degrees.']","[{'fat': 3.075, 'nrg': 1137.5, 'pro': 32.275, 'sat': 0.485, 'sod': 5.0, 'sug': 0.8500000000000001}, {'fat': 2.1525, 'nrg': 796.25, 'pro': 22.5925, 'sat': 0.3395, 'sod': 3.5, 'sug': 0.5950000000000001}, {'fat': 28.1358, 'nrg': 394.68, 'pro': 5.1414, 'sat': 16.16274, 'sod': 13.200000000000001, 'sug': 15.833399999999997}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 642.8571428571429, 'pro': 0.0, 'sat': 0.0, 'sod': 20.833333333333332, 'sug': 142.67857142857142}, {'fat': 0.0, 'nrg': 36.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 1.59}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 3487.5, 'sug': 0.0}, {'fat': 46.6725, 'nrg': 817.25, 'pro': 11.6725, 'sat': 29.172500000000003, 'sod': 0.0, 'sug': 93.3275}, {'fat': 115.10625, 'nrg': 1451.625, 'pro': 47.8275, 'sat': 20.430375, 'sod': 31.5, 'sug': 15.51375}, {'fat': 0.0, 'nrg': 857.1428571428571, 'pro': 0.0, 'sat': 0.0, 'sod': 27.77777777777778, 'sug': 190.23809523809524}, {'fat': 56.2716, 'nrg': 789.36, 'pro': 10.2828, 'sat': 32.32548, 'sod': 26.400000000000002, 'sug': 31.666799999999995}, {'fat': 0.0, 'nrg': 3.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 0.1325}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1162.5, 'sug': 0.0}]","['2 1/2', '1 3/4', '1/2', '1/4', '3/4', '1', '1 1/2', '1', '1 3/4', '1', '1', '1/4', '1/2']","['cup', 'cup', 'cup', 'cup', 'cup', 'tablespoon', 'teaspoon', 'cup', 'cup', 'cup', 'cup', 'teaspoon', 'teaspoon']","[312.5, 218.75, 66.0, 59.2, 238.0952380952381, 12.600000000000001, 9.0, 175.0, 262.5, 317.46031746031747, 132.0, 1.05, 3.0]",,6925.664999999999
White Chocolate Peanut Butter Snowballs,"['peanut butter, smooth style, without salt', 'butter, without salt', 'sugars, powdered', 'spartan, real semi-sweet chocolate baking chips, upc: 011213162966', 'oil, olive, salad or cooking']","['Line cookie sheet with aluminum foil.', 'Using mixer, beat peanut butter and butter until smooth and creamy.', 'Add powdered sugar 1/2 cup at a time until smooth.', 'Roll mixture into 1 inch balls with damp hands.', 'Place balls onto aluminum foil and place in freezer for 30 minutes until firm.', 'Melt white chocolate chips and oil in double broiler.', 'Remove from heat.', 'Dip balls in chocolate until completely covered.', 'Place balls onto wax paper and refrigerate for 30 minutes until firm.', 'Enjoy!']","[{'fat': 197.28000000000003, 'nrg': 2292.0, 'pro': 85.32000000000001, 'sat': 39.647999999999996, 'sod': 60.0, 'sug': 40.32}, {'fat': 2211.84, 'nrg': 19584.0, 'pro': 23.04, 'sat': 1376.4479999999999, 'sod': 384.0, 'sug': 1.92}, {'fat': 0.0, 'nrg': 1764.47288, 'pro': 0.0, 'sat': 0.0, 'sod': 9.07184, 'sug': 443.65833519999995}, {'fat': 140.01749999999998, 'nrg': 2451.75, 'pro': 35.0175, 'sat': 87.51750000000001, 'sod': 0.0, 'sug': 279.9825}, {'fat': 13.5, 'nrg': 119.0, 'pro': 0.0, 'sat': 1.864, 'sod': 0.0, 'sug': 0.0}]","['1 1/2', '12', '16', '3', '1']","['cup', 'cup', 'ounce', 'cup', 'tablespoon']","[384.0, 2726.3999999999996, 453.592, 525.0, 13.5]",60.0,26211.22288
Easiest Sloppy Joes,"['beef, grass-fed, ground, raw', 'catsup', 'pickle relish, sweet', 'spices, chili powder']","['Brown ground beef and drain fat.', 'Add ketchup, relish and chili powder (adjust to taste if needed).', 'Serve!']","[{'fat': 57.7422616, 'nrg': 898.11216, 'pro': 88.0875664, 'sat': 24.1991332, 'sod': 308.44256, 'sug': 0.0}, {'fat': 0.16, 'nrg': 136.0, 'pro': 1.44, 'sat': 0.016, 'sod': 1232.0, 'sug': 28.96}, {'fat': 0.14, 'nrg': 40.0, 'pro': 0.12, 'sat': 0.016, 'sod': 244.0, 'sug': 8.74}, {'fat': 0.39, 'nrg': 8.0, 'pro': 0.36, 'sat': 0.066, 'sod': 77.0, 'sug': 0.18999999999999997}]","['1', '1/2', '2', '1']","['pound', 'cup', 'tablespoon', 'teaspoon']","[453.592, 136.0, 30.0, 2.7]",,1082.1121600000001
Simple Cheesy Dipping Sauce With a Kick,"['sauce, salsa, ready-to-serve', 'cheese, cheddar', 'cream, sour, cultured']","['Combine all ingredients in a bowl.', 'Store in the fridge with a lid.']","[{'fat': 0.48, 'nrg': 80.0, 'pro': 4.4, 'sat': 0.064, 'sod': 2048.0, 'sug': 11.52}, {'fat': 527.64, 'nrg': 6396.0, 'pro': 362.28000000000003, 'sat': 298.848, 'sod': 10344.0, 'sug': 7.5600000000000005}, {'fat': 4.64, 'nrg': 48.0, 'pro': 0.58, 'sat': 2.434, 'sod': 8.0, 'sug': 0.82}]","['1', '12', '2']","['cup', 'cup', 'tablespoon']","[288.0, 1584.0, 24.0]",,6524.0
Baked Parsnips - Irish Recipe,"['parsnips, raw', 'beef, grass-fed, ground, raw', 'salt, table', 'spices, pepper, black', 'spices, nutmeg, ground', 'butter, without salt']","['Preheat oven to 300 degrees f.', 'Peel and quarter the parsnips and boil for 15 minutes, making sure not to let them cook completely.', 'You want them to be par-boiled only.', 'Place the parsnips in a large dish and add the Beef Stock , salt, pepper', 'and nutmeg.', 'Taste and add more salt, pepper and nutmeg, if required.', 'Top with butter and cook for 30 minutes on a low heat in the oven.']","[{'fat': 3.40194, 'nrg': 850.485, 'pro': 13.60776, 'sat': 0.56699, 'sod': 113.39800000000001, 'sug': 54.43104}, {'fat': 28.6425, 'nrg': 445.5, 'pro': 43.695, 'sat': 12.00375, 'sod': 153.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 27900.0, 'sug': 0.0}, {'fat': 0.98, 'nrg': 84.0, 'pro': 3.36, 'sat': 0.44799999999999995, 'sod': 0.0, 'sug': 0.13999999999999999}, {'fat': 11.2, 'nrg': 168.0, 'pro': 1.8199999999999998, 'sat': 7.993999999999999, 'sod': 0.0, 'sug': 0.98}, {'fat': 23.04, 'nrg': 204.0, 'pro': 0.24, 'sat': 14.338, 'sod': 4.0, 'sug': 0.02}]","['2 1/2', '1', '12', '14', '14', '2']","['pound', 'cup', 'teaspoon', 'teaspoon', 'teaspoon', 'tablespoon']","[1133.98, 225.0, 72.0, 32.199999999999996, 30.799999999999997, 28.4]",45.0,1751.9850000000001
"Vickys Sticky Toffee Pudding, Gluten, Dairy, Egg & Soy-Free","['dates, deglet noor', 'milk, fluid, 1% fat, without added vitamin a and vitamin d', 'water, bottled, generic', 'leavening agents, baking soda', 'butter, without salt', 'sugars, brown', 'wheat flour, white, all-purpose, unenriched', 'leavening agents, baking powder, double-acting, sodium aluminum sulfate', 'spices, ginger, ground', 'spices, cinnamon, ground', 'spices, nutmeg, ground', 'wheat flour, white, all-purpose, unenriched', 'syrup, maple, canadian', 'sugars, brown', 'butter, without salt', 'vanilla extract', 'shortening confectionery, coconut (hydrogenated) and or palm kernel (hydrogenated)']","['Preheat the oven to gas 5 / 190C / 375F and line a 20cm square cake tin with baking paper', 'Quarter the dates and add to a saucepan with the milk and water.', 'Let simmer until the dates have softened', ""Take the pan off the heat, stir in the bicarb of soda (it'll froth up) and set aside to cool"", 'Cream the spread and sugar together until light and creamy then stir in the cooled date mixture', 'Add the flour and spices and fold in', 'Spoon into the tin and bake for 30 minutes, the top of the sponge should spring back when gently pressed', 'In a pan, melt together the syrup, sugar, spread and vanilla and simmer without stirring for 5 minutes', 'Let cool slightly then stir in the cream', 'Poke some holes in the top of the cake with a knife and pour half of the toffee sauce over the cake surface when it comes out of the oven.', ""Serve the other half in a jug so everyone can add extra if they'd like"", 'Cut into squares and serve warm with custard, ice cream or cream']","[{'fat': 0.78, 'nrg': 564.0, 'pro': 4.9, 'sat': 0.064, 'sod': 4.0, 'sug': 126.70000000000002}, {'fat': 2.4885, 'nrg': 107.10000000000001, 'pro': 8.631, 'sat': 1.62225, 'sod': 112.35000000000001, 'sug': 13.3245}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 3.36, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1259.0, 'sug': 0.0}, {'fat': 93.2765, 'nrg': 824.55, 'pro': 0.9775, 'sat': 58.062349999999995, 'sod': 12.65, 'sug': 0.06899999999999999}, {'fat': 0.0, 'nrg': 437.0, 'pro': 0.13799999999999998, 'sat': 0.0, 'sod': 32.2, 'sug': 111.573}, {'fat': 1.96, 'nrg': 728.0, 'pro': 20.66, 'sat': 0.31, 'sod': 4.0, 'sug': 0.54}, {'fat': 0.0, 'nrg': 4.5, 'pro': 0.0, 'sat': 0.0, 'sod': 1098.0, 'sug': 0.0}, {'fat': 0.02, 'nrg': 1.5, 'pro': 0.04, 'sat': 0.01175, 'sod': 0.0, 'sug': 0.014999999999999998}, {'fat': 0.007499999999999999, 'nrg': 1.5, 'pro': 0.025, 'sat': 0.00225, 'sod': 0.0, 'sug': 0.014999999999999998}, {'fat': 0.04992, 'nrg': 0.7488, 'pro': 0.008112, 'sat': 0.0356304, 'sod': 0.0, 'sug': 0.004368}, {'fat': 0.0128125, 'nrg': 4.739583333333333, 'pro': 0.13447916666666665, 'sat': 0.0020208333333333332, 'sod': 0.020833333333333332, 'sug': 0.003541666666666667}, {'fat': 0.0, 'nrg': 360.0, 'pro': 0.0, 'sat': 0.0, 'sod': 11.666666666666666, 'sug': 79.89999999999999}, {'fat': 0.0, 'nrg': 760.0, 'pro': 0.24, 'sat': 0.0, 'sod': 56.00000000000001, 'sug': 194.04}, {'fat': 121.665, 'nrg': 1075.5, 'pro': 1.2750000000000001, 'sat': 75.73349999999999, 'sod': 16.5, 'sug': 0.09}, {'fat': 0.0, 'nrg': 12.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 0.53}, {'fat': 86.016, 'nrg': 759.36, 'pro': 0.0, 'sat': 78.52991999999999, 'sod': 0.0, 'sug': 0.0}]","['200', '250', '100', '1', '115', '115', '200', '2 1/4', '1/4', '1/4', '1', '1/2', '100', '200', '150', '1', '100']","['g', 'ml', 'ml', 'teaspoon', 'g', 'g', 'g', 'teaspoon', 'teaspoon', 'teaspoon', 'pinch', 'teaspoon', 'ml', 'g', 'g', 'teaspoon', 'ml']","[200.0, 256.2, 99.456, 4.6, 115.0, 115.0, 200.0, 10.35, 0.45, 0.65, 0.13728, 1.3020833333333333, 133.33333333333334, 200.0, 150.0, 4.2, 86.016]",35.0,5640.498383333334
Mushroom Soup,"['butter, without salt', 'onions, raw', 'mushrooms, white, raw', 'wheat flour, white, all-purpose, unenriched', 'soup, chicken broth or bouillon, dry', 'milk, fluid, 1% fat, without added vitamin a and vitamin d', 'salt, table', 'spices, pepper, black', 'lemon juice, raw']","['Brown chopped onions in butter.', 'Add sliced mushrooms.', 'Cook until tender.', 'Blend in flour, then gradually add chicken stock and milk.', 'Heat to boiling until mixture thickens.', 'All salt, pepper and lemon juice.', 'Simmer 10 minutes.']","[{'fat': 5150.7185968, 'nrg': 45531.564959999996, 'pro': 53.977448, 'sat': 3206.1969083199992, 'sod': 698.5316799999999, 'sug': 3.8101727999999992}, {'fat': 2.24, 'nrg': 896.0, 'pro': 24.64, 'sat': 0.9380000000000001, 'sod': 84.0, 'sug': 94.92}, {'fat': 18.5065536, 'nrg': 1197.4828799999998, 'pro': 168.19191359999996, 'sat': 2.7215519999999995, 'sod': 272.1552, 'sug': 107.77345919999998}, {'fat': 17.22, 'nrg': 6370.0, 'pro': 180.74, 'sat': 2.716, 'sod': 28.0, 'sug': 4.760000000000001}, {'fat': 13.440000000000001, 'nrg': 240.0, 'pro': 15.840000000000002, 'sat': 3.3120000000000003, 'sod': 22944.0, 'sug': 16.8}, {'fat': 7.11, 'nrg': 306.0, 'pro': 24.660000000000004, 'sat': 4.635, 'sod': 321.0, 'sug': 38.07}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 32549.999999999996, 'sug': 0.0}, {'fat': 0.98, 'nrg': 84.0, 'pro': 3.36, 'sat': 0.44799999999999995, 'sod': 0.0, 'sug': 0.13999999999999999}, {'fat': 0.1720833333333333, 'nrg': 15.749999999999998, 'pro': 0.24791666666666662, 'sat': 0.028583333333333332, 'sod': 0.5833333333333333, 'sug': 1.79375}]","['14', '14', '12', '14', '1', '3', '14', '14', '14']","['pound', 'cup', 'pound', 'cup', 'cup', 'cup', 'teaspoon', 'teaspoon', 'teaspoon']","[6350.288, 2240.0, 5443.103999999999, 1750.0, 96.0, 732.0, 83.99999999999999, 32.199999999999996, 71.16666666666666]",10.0,54640.79784
Emeril's Southwest Seasoning,"['spices, chili powder', 'spices, cumin seed', 'spices, paprika', 'spices, pepper, black', 'spices, coriander seed', 'spices, pepper, red or cayenne', 'spices, garlic powder', 'spices, pepper, red or cayenne', 'salt, table', 'spices, oregano, dried']","['Combine all ingredients thoroughly.', 'Store in an airtight container.']","[{'fat': 2.3400000000000003, 'nrg': 48.0, 'pro': 2.16, 'sat': 0.396, 'sod': 462.0, 'sug': 1.1400000000000001}, {'fat': 0.94, 'nrg': 16.0, 'pro': 0.74, 'sat': 0.064, 'sod': 8.0, 'sug': 0.1}, {'fat': 1.8, 'nrg': 36.0, 'pro': 1.9800000000000002, 'sat': 0.29400000000000004, 'sod': 12.0, 'sug': 1.44}, {'fat': 0.07, 'nrg': 6.0, 'pro': 0.23999999999999996, 'sat': 0.032, 'sod': 0.0, 'sug': 0.01}, {'fat': 0.9600000000000001, 'nrg': 15.0, 'pro': 0.66, 'sat': 0.054, 'sod': 3.0, 'sug': 0.0}, {'fat': 0.31, 'nrg': 6.0, 'pro': 0.22, 'sat': 0.059, 'sod': 1.0, 'sug': 0.18999999999999997}, {'fat': 0.060000000000000005, 'nrg': 30.0, 'pro': 1.53, 'sat': 0.024, 'sod': 6.0, 'sug': 0.24000000000000002}, {'fat': 0.31, 'nrg': 6.0, 'pro': 0.22, 'sat': 0.059, 'sod': 1.0, 'sug': 0.18999999999999997}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 6975.0, 'sug': 0.0}, {'fat': 0.12000000000000001, 'nrg': 9.0, 'pro': 0.27, 'sat': 0.048, 'sod': 0.0, 'sug': 0.12000000000000001}]","['2', '2', '2', '1', '1', '1', '1', '1', '1', '1']","['tablespoon', 'teaspoon', 'tablespoon', 'teaspoon', 'tablespoon', 'teaspoon', 'tablespoon', 'teaspoon', 'tablespoon', 'tablespoon']","[16.200000000000003, 4.2, 13.799999999999999, 2.3, 5.4, 1.8, 9.3, 1.8, 18.0, 3.0]",,172.0
Penn State Mix Ice Cream Recipe,"['milk, canned, condensed, sweetened', 'cream, fluid, heavy whipping', 'milk, buttermilk, fluid, cultured, lowfat', 'sugars, granulated']","['Stir condensed lowfat milk into whole lowfat milk.', ""It's sticky and requires scraping the sides and bottom while mixing to blend."", 'Dissolve sugar into this mix, then add in cream.', 'Refrigeratemix.', 'When mix is cool add in to freezer and follow manufacturer instructions.']","[{'fat': 39.839999999999996, 'nrg': 1476.0, 'pro': 36.24, 'sat': 25.152, 'sod': 588.0, 'sug': 249.36}, {'fat': 115.46666666666665, 'nrg': 1088.0, 'pro': 9.093333333333334, 'sat': 73.70133333333334, 'sod': 85.33333333333333, 'sug': 9.333333333333332}, {'fat': 7.5600000000000005, 'nrg': 343.0, 'pro': 28.384999999999998, 'sat': 4.7005, 'sod': 1631.0, 'sug': 41.09}, {'fat': 0.0, 'nrg': 576.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 150.84}]","['1 1/2', '2 2/3', '3 1/2', '3/4']","['cup', 'cup', 'cup', 'cup']","[458.40000000000003, 320.0, 857.5, 151.20000000000002]",,3483.0
Chicken Curry,"['wheat flour, white, all-purpose, unenriched', 'spices, curry powder', 'salt, table', 'spices, pepper, black', 'butter, without salt', 'milk, fluid, 1% fat, without added vitamin a and vitamin d', 'chicken, broiler or fryers, breast, skinless, boneless, meat only, raw']","['1.', 'Mix dry ingredients 2.', 'Melt butter over low heat 3.', 'Add dry ingredients, mixing with whisk 4.', 'Cook over low heat, stirring until mixture is smooth and bubbly 5.', 'Remove from heat 6.', 'Gradually stir in milk 7.', 'Heat to boiling, stirring constantly 8.', 'Boil and stir until thickened, about 1 minute 9.', 'Stir in chicken', 'Serve over rice.', 'Many of my family members like to add toppings to this dish.', 'They recommend some combination of raisins, chopped nuts, bananas, chutney, apples, pears, and coconut.', 'I prefer the naked curry.']","[{'fat': 0.3075, 'nrg': 113.75, 'pro': 3.2275, 'sat': 0.0485, 'sod': 0.5, 'sug': 0.085}, {'fat': 0.8400000000000001, 'nrg': 18.0, 'pro': 0.87, 'sat': 0.099, 'sod': 3.0, 'sug': 0.18}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1162.5, 'sug': 0.0}, {'fat': 0.0175, 'nrg': 1.5, 'pro': 0.05999999999999999, 'sat': 0.008, 'sod': 0.0, 'sug': 0.0025}, {'fat': 46.08, 'nrg': 408.0, 'pro': 0.48, 'sat': 28.676, 'sod': 8.0, 'sug': 0.04}, {'fat': 4.74, 'nrg': 204.0, 'pro': 16.44, 'sat': 3.09, 'sod': 214.0, 'sug': 25.38}, {'fat': 3.668, 'nrg': 168.0, 'pro': 31.5, 'sat': 0.7881999999999999, 'sod': 63.0, 'sug': 0.0}]","['4', '1', '1/2', '1/4', '4', '2', '1']","['tablespoon', 'tablespoon', 'teaspoon', 'teaspoon', 'tablespoon', 'cup', 'cup']","[31.25, 6.0, 3.0, 0.575, 56.8, 488.0, 140.0]",1.0,913.25
Pistachio-Cranberry-Candied Orange Bark,"['spartan, real semi-sweet chocolate baking chips, upc: 011213162966', 'nuts, pistachio nuts, raw', 'cranberries, dried, sweetened', 'orange juice, raw']","['Line a baking sheet with foil, shiny-side up; smooth out the creases.', 'Make sure all your tools are dry.', 'Chop the white chocolate into 1/2-inch pieces with a large knife.', 'Place all but 1 cup of the chopped chocolate in a microwave-safe bowl.', 'Microwave 30 seconds, then stir with a rubber spatula.', 'Continue microwaving and stirring at 30-second intervals until melted, 3 to 5 minutes total.', 'Immediately add the reserved chopped chocolate to the bowl; stir vigorously until melted and shiny.', ""Don't worry if there are a few small unmelted pieces."", 'Pour the white chocolate onto the prepared baking sheet; use the rubber spatula to spread it into a 10-to-12-inch circle, about 1/4 inch thick.', 'Press the pistachios, cranberries and candied orange peel into the chocolate, arranging them so each bite has a mix of flavors and textures.', 'Let the bark harden completely at room temperature, about 1 hour.', '(If the room is warm, you may need to freeze the bark for a few minutes.)', 'Break into pieces and store in an airtight container at room temperature for 1 to 2 weeks.', 'Photograph by Levi Brown']","[{'fat': 120.9729864, 'nrg': 2118.27464, 'pro': 30.254586399999997, 'sat': 75.61378640000001, 'sod': 0.0, 'sug': 241.90061359999999}, {'fat': 27.87, 'nrg': 344.5, 'pro': 12.4, 'sat': 3.633, 'sod': 0.5, 'sug': 4.71}, {'fat': 0.88, 'nrg': 246.0, 'pro': 0.14, 'sat': 0.07, 'sod': 4.0, 'sug': 58.04}, {'fat': 0.25, 'nrg': 56.0, 'pro': 0.87, 'sat': 0.03, 'sod': 1.0, 'sug': 10.415}]","['1', '1/2', '1/2', '1/2']","['pound', 'cup', 'cup', 'cup']","[453.592, 61.5, 80.0, 124.0]",65.0,2764.77464
"Soy, Soy, Soy Soup","['miso', 'soymilk, original and vanilla, unfortified']","['Prepare a soup bowl.', 'Place instant miso soup in the bowl.', 'Boil soy milk.', 'Mix the instant miso soup well with boiled soy milk.']","[{'fat': 0.4808, 'nrg': 15.84, 'pro': 1.0231999999999999, 'sat': 0.08199999999999999, 'sod': 298.24, 'sug': 0.496}, {'fat': 3.213, 'nrg': 99.036, 'pro': 6.0102, 'sat': 0.376488, 'sod': 93.744, 'sug': 7.3332}]","['8', '180']","['g', 'ml']","[8.0, 183.708]",,114.876
Chocolate Caliente - Spanish Hot Chocolate,"['milk, fluid, 1% fat, without added vitamin a and vitamin d', 'milk, fluid, 1% fat, without added vitamin a and vitamin d', 'cornstarch']","['Pour the milk into a medium saucepan and add the cornstarch.', 'Whisk to dissolve the cornstarch.', 'Once the cornstarch is dissolved, heat the milk on medium heat just until it boils, then remove from heat.', 'Add the chocolate immediately and begin stirring until the chocolate is completely melted.', 'If the milk cools off too fast, place the pan back on the stove on low heat to melt the chocolate.', 'Place the pan back on the stove on medium low heat, stirring slowly, but constantly.', '(Do not cook the mixture over high heat because it may cause lumping.)', 'Taste the chocolate for sweetness and add more sugar if necessary.', 'The mixture should thicken quickly.', 'As soon as you see it thicken, remove the pan from the heat so the cornstarch will not thin.', 'Ladle immediately into cups and serve piping hot.', 'Note: Be sure to use a clean spoon every time you taste the chocolate.', 'Enzymes from your mouth can cause a thickened cornstarch mixture to thin.']","[{'fat': 4.3998424, 'nrg': 190.50863999999999, 'pro': 15.2860504, 'sat': 2.87123736, 'sod': 199.58048, 'sug': 23.586784}, {'fat': 1.0999606, 'nrg': 47.627159999999996, 'pro': 3.8215126, 'sat': 0.71780934, 'sod': 49.89512, 'sug': 5.896696}, {'fat': 0.015, 'nrg': 122.0, 'pro': 0.0825, 'sat': 0.003, 'sod': 3.0, 'sug': 0.0}]","['16', '4', '12']","['ounce', 'ounce', 'teaspoon']","[453.592, 113.398, 32.0]",,360.1358
